image_id,psnr,mse,ssim,lpips
000000189828.jpg,48.519927978515625,5.624286859529093e-05,0.9998705,0.00026992795756086707
000000190007.jpg,48.54671096801758,5.5897064157761633e-05,0.99969035,0.00035142447450198233
000000190140.jpg,48.575531005859375,5.552738002734259e-05,0.999573,0.0005352740408852696
000000190236.jpg,48.68609619140625,5.4131578508531675e-05,0.99889344,0.0006834823871031404
000000190307.jpg,48.543548583984375,5.59377767785918e-05,0.9995737,0.0004256821994204074
000000190637.jpg,48.576019287109375,5.5521079048048705e-05,0.99932474,0.000579184154048562
000000190648.jpg,48.81511688232422,5.2547024097293615e-05,0.9835741,0.0007368963561020792
000000190676.jpg,48.669944763183594,5.4333271691575646e-05,0.99916744,0.0004572623874992132
000000190753.jpg,48.57261276245117,5.556469113798812e-05,0.9995642,0.0007887615356594324
000000190756.jpg,48.53120422363281,5.6096992921084166e-05,0.99984884,0.0003325396974105388
000000190841.jpg,48.54045867919922,5.5977609008550644e-05,0.9997291,0.0006361143896356225
000000190853.jpg,48.5585823059082,5.57444836886134e-05,0.99984676,0.0007082693045958877
000000190923.jpg,48.56324768066406,5.568463166127913e-05,0.99977714,0.0005368566489778459
000000191013.jpg,48.54323959350586,5.59417785552796e-05,0.9996764,0.00023380914353765547
000000191288.jpg,48.55781555175781,5.5754335335223004e-05,0.9997209,0.00040571021963842213
000000191471.jpg,48.54634094238281,5.590177534031682e-05,0.9996937,0.00022791215451434255
000000191580.jpg,48.55698013305664,5.576498733717017e-05,0.9981206,0.00013306098117027432
000000191614.jpg,48.55582809448242,5.577983392868191e-05,0.99908286,0.000281735003227368
000000191672.jpg,48.53097915649414,5.6099896028172225e-05,0.9998417,0.00047017374890856445
000000191761.jpg,48.60012435913086,5.521383718587458e-05,0.99836785,0.00035974508500657976
000000191845.jpg,48.55882263183594,5.574139504460618e-05,0.9998193,0.000287965580355376
000000192047.jpg,48.548160552978516,5.587845225818455e-05,0.9998539,0.0016225489089265466
000000192191.jpg,48.57193374633789,5.557338590733707e-05,0.9976516,0.0004929786664433777
000000192607.jpg,48.57428741455078,5.5543321650475264e-05,0.9988722,0.0005103630828671157
000000192670.jpg,48.5468864440918,5.589481952483766e-05,0.99988085,0.0003070671809837222
000000192699.jpg,48.56395721435547,5.5675525800324976e-05,0.9996794,0.0004049966810271144
000000192716.jpg,48.553348541259766,5.581171717494726e-05,0.9989217,0.00022147467825561762
000000192871.jpg,48.75980758666992,5.322054494172335e-05,0.99354964,0.000766781740821898
000000192904.jpg,48.56438064575195,5.567010884988122e-05,0.9998291,0.0003384130832273513
000000192964.jpg,48.90718078613281,5.1444854761939496e-05,0.9920857,0.0015023050364106894
000000193162.jpg,48.55799102783203,5.575203613261692e-05,0.99987316,0.0004972197348251939
000000193181.jpg,48.551979064941406,5.582926678471267e-05,0.9998308,0.0002612397656776011
000000193245.jpg,48.547176361083984,5.589107604464516e-05,0.999872,0.0002941815182566643
000000193348.jpg,48.5475959777832,5.588566273218021e-05,0.99984103,0.00023199596034828573
000000193429.jpg,48.52238464355469,5.621098534902558e-05,0.9999047,0.0003889845684170723
000000193494.jpg,48.56087112426758,5.571509973378852e-05,0.99898964,0.00022491069103125483
000000193674.jpg,48.612369537353516,5.505831722985022e-05,0.998162,0.001182657084427774
000000193717.jpg,48.613922119140625,5.503867214429192e-05,0.9997356,0.0006493917899206281
000000193743.jpg,48.57470703125,5.553793380386196e-05,0.9987274,0.0003055599518120289
000000193884.jpg,48.5518798828125,5.583056918112561e-05,0.99987555,0.0005439647939056158
000000193926.jpg,48.76869583129883,5.3111707529751584e-05,0.99889064,0.00039857649244368076
000000194216.jpg,48.57095718383789,5.5585864174645394e-05,0.9998705,0.000658729812130332
000000194471.jpg,48.62058639526367,5.4954260122030973e-05,0.9982271,0.00028849710361100733
000000194506.jpg,48.58415985107422,5.541713835555129e-05,0.9995205,0.000755694811232388
000000194716.jpg,48.56315994262695,5.5685784900560975e-05,0.9997964,0.0005376986227929592
000000194724.jpg,48.56874465942383,5.5614182201679796e-05,0.99939424,0.00027422505081631243
000000194746.jpg,48.58697509765625,5.5381264246534556e-05,0.99967164,0.0013122890377417207
000000194832.jpg,49.032005310058594,4.998726581106894e-05,0.9945119,0.000575461657717824
000000194875.jpg,48.6064453125,5.513352152775042e-05,0.997297,0.00035283196484670043
000000194940.jpg,48.619041442871094,5.497382881003432e-05,0.99703294,0.00032028474379330873
000000195045.jpg,48.564231872558594,5.567196785705164e-05,0.99970955,0.00042393742478452623
000000195165.jpg,48.6312255859375,5.481982952915132e-05,0.99607605,0.0007828554371371865
000000195754.jpg,48.630393981933594,5.483031418407336e-05,0.99622005,0.0006684230756945908
000000195842.jpg,48.619224548339844,5.497154779732227e-05,0.9965263,0.00042359690996818244
000000195918.jpg,48.951026916503906,5.0928119890158996e-05,0.9938092,0.0006239987560547888
000000196009.jpg,48.5623779296875,5.5695731134619564e-05,0.99876976,0.00025227252626791596
000000196141.jpg,48.568119049072266,5.5622214858885854e-05,0.9994891,0.00027303569368086755
000000196185.jpg,48.53835678100586,5.600468648481183e-05,0.9997847,0.0008170425426214933
000000196442.jpg,48.50980758666992,5.6374032283201814e-05,0.9998712,0.0006030687945894897
000000196754.jpg,48.56686019897461,5.5638338380958885e-05,0.9995093,0.00024180993204936385
000000196759.jpg,48.63963317871094,5.471380427479744e-05,0.99810076,0.0004242651048116386
000000196843.jpg,48.55659103393555,5.57700805075001e-05,0.99964637,0.0002901350671891123
000000197004.jpg,48.558433532714844,5.574636088567786e-05,0.99952906,0.00026890976005233824
000000197022.jpg,48.547645568847656,5.588508065557107e-05,0.9998295,0.0003612496657297015
000000197388.jpg,48.52781677246094,5.614075780613348e-05,0.9998834,0.0003169439150951803
000000197528.jpg,48.55015563964844,5.5852706282166764e-05,0.9999092,0.0008225117926485837
000000197658.jpg,48.573341369628906,5.5555341532453895e-05,0.9997552,0.000367585860658437
000000197796.jpg,48.55352783203125,5.580936704063788e-05,0.9998574,0.0007699020206928253
000000197870.jpg,48.93968963623047,5.106123717268929e-05,0.987556,0.0005583923775702715
000000198489.jpg,48.552635192871094,5.582082667388022e-05,0.99987584,0.0008134039235301316
000000198510.jpg,48.696311950683594,5.400437657954171e-05,0.99352664,0.00040872051613405347
000000198641.jpg,48.746498107910156,5.33838574483525e-05,0.99476004,0.0006001524743624032
000000198805.jpg,48.60014343261719,5.52135388716124e-05,0.99817705,0.0001891615684144199
000000198915.jpg,48.55042266845703,5.5849341151770204e-05,0.999882,0.00018508797802496701
000000198928.jpg,48.542579650878906,5.595022230409086e-05,0.99982834,0.0008180108270607889
000000198960.jpg,48.56201934814453,5.570038774749264e-05,0.9999078,0.001032717409543693
000000199055.jpg,48.55051040649414,5.58482097403612e-05,0.9998967,0.000505627307575196
000000199236.jpg,48.59247589111328,5.531108399736695e-05,0.9964762,0.0003458379942458123
000000199310.jpg,48.63309860229492,5.479622632265091e-05,0.99748284,0.0002660073805600405
000000199395.jpg,48.543094635009766,5.5943608458619565e-05,0.9998551,0.000445594429038465
000000199442.jpg,48.52959060668945,5.61178894713521e-05,0.9998873,0.0005191654781810939
000000199551.jpg,48.56056213378906,5.571907968260348e-05,0.9998676,0.00040911894757300615
000000199681.jpg,48.603187561035156,5.5174867156893015e-05,0.99591136,0.001374653191305697
000000199771.jpg,48.56730651855469,5.5632623116252944e-05,0.99948835,0.0005031909677200019
000000199977.jpg,48.534854888916016,5.6049895647447556e-05,0.99985313,0.0003306080761831254
000000200152.jpg,49.24449920654297,4.76003551739268e-05,0.9650952,0.0010567710269242525
000000200162.jpg,48.56074523925781,5.5716718634357676e-05,0.99980736,0.00048027237062342465
000000200252.jpg,48.55508804321289,5.578939453698695e-05,0.9997246,0.0009119505411945283
000000200421.jpg,48.59132766723633,5.532578506972641e-05,0.9986566,0.0007975335465744138
000000200667.jpg,48.55513000488281,5.5788783356547356e-05,0.9998501,0.0008849896257743239
